SOC[%],U[V]
0.000000000000000000e+00,3.106803165100569863e+00
1.016106325817952571e+00,3.211686293614429921e+00
2.032203393481919917e+00,3.284740172890070031e+00
3.048297394452327058e+00,3.340728972754869908e+00
4.064397517044325170e+00,3.384829739771670010e+00
5.080504604987967632e+00,3.416658989009880187e+00
6.096608429091386228e+00,3.428738764323170152e+00
7.112705936736089640e+00,3.435641493073629871e+00
8.128806453400553522e+00,3.441777251962919948e+00
9.144911971171403309e+00,3.448296495782800175e+00
1.016101489568560723e+01,3.455390966998539870e+00
1.117711834415415595e+01,3.463444150540739841e+00
1.219322408696575266e+01,3.472647788874680064e+00
1.320933195941841021e+01,3.482426654604489968e+00
1.422543644891644199e+01,3.492780747730169999e+00
1.524154220294690099e+01,3.502751355925270094e+00
1.625764401526773995e+01,3.512530221655079998e+00
1.727375014257466646e+01,3.521925602454309967e+00
1.828985427670987463e+01,3.530362270927089874e+00
1.930595821333358586e+01,3.538223712004000099e+00
2.032207045328231487e+01,3.546085153080909880e+00
2.133817514261872716e+01,3.553946594157809891e+00
2.235426772917423932e+01,3.561808035234720116e+00
2.337037196147700868e+01,3.568710763985170065e+00
2.438647036851738648e+01,3.575038265339760102e+00
2.540257138214421317e+01,3.580598796833180053e+00
2.641867696554591305e+01,3.586159328326600004e+00
2.743478107612321537e+01,3.590952889958860084e+00
2.845088117972978026e+01,3.595171224195250037e+00
2.946698203668959337e+01,3.599006073501060055e+00
3.048308919476363599e+01,3.602649180341579882e+00
3.149919464479787479e+01,3.605908802251520218e+00
3.251529807761003354e+01,3.609360166626740085e+00
3.353140637254657719e+01,3.612619788536679977e+00
3.454751238126483770e+01,3.616071152911910058e+00
3.556361244254190979e+01,3.619330774821840180e+00
3.657970200172498210e+01,3.622782139197069817e+00
3.759579290050478306e+01,3.626041761107010153e+00
3.861190072454204625e+01,3.629301383016950044e+00
3.962800807719406748e+01,3.632944489857460102e+00
4.064411271842553930e+01,3.636395854232690183e+00
4.166021300337443733e+01,3.640230703538500201e+00
4.267631831479656057e+01,3.644065552844310218e+00
4.369241963890851110e+01,3.647900402150119792e+00
4.470852347347089761e+01,3.651926993921209785e+00
4.572462532174112226e+01,3.656145328157600183e+00
4.674072520282998511e+01,3.660747147324570072e+00
4.775683129234919022e+01,3.665348966491539962e+00
4.877293818744652043e+01,3.670334270589089787e+00
4.978904439554398209e+01,3.675511317151940016e+00
5.080515223713248929e+01,3.681263591110650157e+00
5.182125773179194539e+01,3.687207607534650045e+00
5.283736276879410809e+01,3.693343366423940122e+00
5.385346869667375813e+01,3.700054352709110095e+00
5.486956841741029933e+01,3.707148823924849790e+00
5.588567535765713501e+01,3.714626780071180079e+00
5.690178371816266889e+01,3.723063448543959986e+00
5.791788538562686739e+01,3.731883601947319828e+00
5.893399340734561775e+01,3.741662467677130177e+00
5.995010127327382321e+01,3.752591788198679890e+00
6.096620117209705825e+01,3.764863305977269814e+00
6.198230094972188198e+01,3.778093536082309800e+00
6.299840666404088552e+01,3.790365053860889955e+00
6.401450396199579984e+01,3.801486116847740071e+00
6.503060729556682418e+01,3.811840209973420102e+00
6.604671460522169468e+01,3.821810818168520196e+00
6.706281882878562328e+01,3.831781426363619847e+00
6.807892353908381722e+01,3.841368549628140006e+00
6.909502773384616603e+01,3.850955672892660164e+00
7.011113182993304349e+01,3.860542796157179879e+00
7.112723492619619492e+01,3.870513404352290188e+00
7.214333823462719408e+01,3.879908785151520156e+00
7.315944613941555019e+01,3.889687650881330061e+00
7.417555342683078834e+01,3.899274774145850220e+00
7.519165756783419852e+01,3.908861897410369934e+00
7.620776535773468652e+01,3.918449020674890093e+00
7.722387213842486631e+01,3.928419628869990188e+00
7.823996766559686478e+01,3.938006752134509902e+00
7.925607410503310746e+01,3.947977360329609997e+00
8.027217761585360734e+01,3.957756226059419902e+00
8.128827822676750259e+01,3.967726834254530210e+00
8.230437870272923817e+01,3.977889184914920051e+00
8.332048356318810534e+01,3.988243278040600082e+00
8.433658383580193174e+01,3.998597371166280112e+00
8.535267761854709079e+01,4.008951464291960143e+00
8.636878480295415272e+01,4.019689042348230323e+00
8.738488880403350834e+01,4.030426620404489846e+00
8.840098793231481977e+01,4.041355940926039558e+00
8.941709512251829040e+01,4.052477003912890119e+00
9.043320064921351786e+01,4.063406324434439831e+00
9.144930248570831566e+01,4.075102614817160074e+00
9.246541002781835061e+01,4.086223677803999976e+00
9.348151558000385819e+01,4.097919968186720219e+00
9.449762123523824187e+01,4.109616258569429803e+00
9.551372493436632283e+01,4.121120806486859856e+00
9.652983075097748156e+01,4.133008839334859630e+00
9.754593619295539497e+01,4.145088614648160252e+00
9.849765609823309376e+01,4.156017935169709965e+00
9.894304335012657248e+01,4.160044526940810172e+00
9.924137149022939752e+01,4.162537178989589748e+00
9.946411927011233445e+01,4.164454603642489872e+00
9.963962689780314008e+01,4.165796800899520314e+00
9.978223171627116983e+01,4.166755513225970375e+00
9.990001883232822877e+01,4.167714225552430207e+00
1.000000000000000000e+02,4.168289452948299889e+00
